IDcyclist,gene_sz_lastname,gene_sz_firstname,fkIDteam
4961,Vermoote,Jelle,110
4963,Marín,José,119
4964,Haden,Glenn,119
4966,Knight,Oliver,34
4967,del Toro,Isaac,16
4968,Sparfel,Louis,119
4969,Rondel,Mathys,226
4970,Villareal,David,119
4971,Aljaaidi,Abdullah,119
4972,Bernal,Ronald Stiven,119
4973,Rogers,Cameron,201
4975,Fofonov,Artëm,174
4977,Sastre,Yerai,119
4978,Cipollini,Edoardo,221
4980,Charteau,Diégo,119
4981,Beloki,Markel,5
4982,Brenner,Mauro,267
4984,Rodriguez,Diego Leonel,119
4986,Caraballo,Sebastian,119
4987,Moreira,Federico Agustin,119
4989,Thimachai,Kongphob,119
4990,Haqeem,Ameenur,119
4991,Pedersen,Martin,166
4993,Janluang,Jetsada,119
4995,Székely,Nathan,119
4999,Harvey,Dean,119
5001,Moscon,Gianni,33
5003,Tsujino,Kazuya,244
5004,Tanaka,Ryosuke,119
5005,Rivett,Josh,119
5006,Turner,Jacob,119
5007,Murphy,Finnegan,131
5008,Yovevski,Stefan,572
5010,Rivera,Mateo,516
5011,Hakim,Younes,119
5012,Wang,Yin-Chih,119
5014,Wang,Jiaxi,119
5016,Gialli,Matteo,603
5017,Caputo,Cristian,119
5018,Fraticelli,Luca,398
5019,Pagara,Alexis,228
5021,Bozkurt,Ismail Mert,119
5023,Sousa,Diogo,119
5024,Mendes,João,119
5025,Nakajima,Ayumi,119
5028,Kus,Piotr,611
5029,Kosun,Szymon,611
5030,Wróbel,Dominik,654
5032,Plüss,Micha,119
5034,Morales,Alejandro,119
5035,Grinkevich,Mark,119
5036,de Jong,Jeen,238
5037,Reinoso Sanchez,Emilio,119
5038,Chatelon,Jules,119
5039,Salomon,Lucas,119
5040,Fu,Shuyi,119
5042,Chen,Jiwei,119
5043,Qu,Chengjun,119
5044,Yu,Hang,119
5046,Gueye,Serigne,119
5047,Wilson,James,185
5048,Webster,Zach,197
5050,Morita,Toa,119
5052,Xie,Guangchao,119
5054,Peretz,Matar,211
5055,Tahar,Guy,119
5056,Birhane,Ghebrehiwet,119
5057,Bouma,Jelle,167
5058,Hopmans,Wouter,119
5059,van der Lee,Dani,119
5060,Stridsberg,Oliver,599
5061,Catalán Delgado,Pedro,119
5062,Delgado Moreira,Luis,119
5063,Heredia,Denis,119
5064,Tellez Kuschel,Agustin,119
5065,Hernández Lucares,Martín,119
5066,Hrdina,Victor,119
5067,Colmenares,Jad Sair,119
5069,López,Alan,119
5070,Astudillo,Eyair,213
5071,del Campo,Diego,213
5072,Diaz,Bastian,213
5073,Godoy,Vicente,213
5074,Mancilla,Martin,213
5106,García Cortina,Iván,1
5113,Doroga,David-Cosmin,119
5114,Hendler,Benjamin,119
5115,Airudin,Raihan,119
5117,Tapimay,Pongthep,119
5118,Romero Hernández,Rodrigo,119
5119,Sancho Rodríguez,Gael,506
5120,Jaen,Victor,119
5121,Badak,Fahrettin,119
5122,Akpinar,Ahmet,263
5123,Baser,Burak,260
5125,Temel,Sefa Süleyman,260
5126,Pocherniaev,Nikolai,119
5127,Mariamidze,Stepan,119
5128,Kumar,Manjeet,119
5129,Kumar,Sahil,119
5130,Sundaram,Joel Santosh,119
5131,Monteiro,Maicke,119
5132,Tamayo,Christian,119
5133,Halfdansen,Sander,119
5134,Stridsberg,Tobias,119
5135,Parnham,Fraser,119
5136,Tamburri,Cole,119
5137,Tasdemir,Mustafa Emirhan,119
5138,Köfteci,Aydin,514
5139,Tasci,Berkant,119
5140,Sari,Bahaettin,514
5141,Tekirdag,Arda,130
5142,Aslan,Ahmet Can,514
5143,Al Toqi,Amjad,119
5144,Kubat,Eduard,119
5146,Klund,Christian,628
5147,Camargo,Yeferson,217
5148,Rojas,Juan Esteban,519
5149,Cardona García,Julian,519
5150,Cardoso Santos,Flávio,119
5151,Chamorro,Francisco,119
5154,Mendoza,David,119
5155,Briceño,Fernando,119
5156,Barakat,Saad Mahmoud,256
5158,Mansour,Hussein Omar,256
5159,Alieldin,Shams Ahmed Hossney,256
5160,Kamel,Mohamed,256
5161,Sadek,Mohamed Ali Zeyad,256
5162,Vuylsteke,Tom,119
5164,Shateh,Mazen,119
5165,Elsenfawi,Ahmed,119
5166,Al-Mutairi,Ahmad,119
5167,Yu,Huitae,119
5168,Jeong,Seonggyu,279
5169,Yu,Jiaqing,119
5171,Liu,Yongjie,424
5172,Williamson,Max,119
5173,Whetter,Felix,119
5174,Montenegro,Julian,119
5175,Parra,Carlos Andres,119
5176,Messel,Kevin,628
5177,Hofmeester,Marius,557
5178,Mushinzimana,Jean Bosco,119
5180,Hannon,Wilson,119
5181,Duffy,Will,119
5182,Yarash,Uladzislau,119
5183,Malyshka,Maksim,119
5185,He,Zhengan,119
